pincode,officeName,district,state,storedLat,storedLon,kmFromRegion,regionPrefix,severity
425203,"Bhusawal Ordnance Factory S.O","JALGAON","MAHARASHTRA",21.050554,75.819568,116,425*,HIGH
521120,"Nagayalanka S.O","KRISHNA","ANDHRA PRADESH",15.94775,80.91641667,114,5211*,HIGH
764051,"Balimela S.O","MALKANGIRI","ODISHA",18.224435,82.059782,113,76405*,HIGH
606202,"Kallakurichi H.O","KALLAKURICHI","TAMIL NADU",11.7381667,78.9601389,113,60620*,HIGH
686560,"Priyadarsini Hills SO","KOTTAYAM","KERALA",9.659962,76.530419,113,68656*,HIGH
173222,"Mamlig SO","SOLAN","HIMACHAL PRADESH",31.0546944,77.0245833,113,17322*,HIGH
442501,"Chandrapur Ord Fact S.O","CHANDRAPUR","MAHARASHTRA",20.1171111,79.1494167,112,44250*,HIGH
686007,"Pallom SO","KOTTAYAM","KERALA",9.529263,76.514385,112,68600*,HIGH
799145,"Sabroom S.O","South Tripura","TRIPURA",23.00369444,91.73263889,110,7991*,HIGH
482007,"NDC Jabalpur","NA","NA",23.161436,79.955222,110,48200*,HIGH
585447,"MANHALLI  S.O","BIDAR","KARNATAKA",17.8155,76.7971,110,5854*,HIGH
678002,"Olavakkot HO","PALAKKAD","KERALA",10.799571,76.642318,110,67800*,HIGH
160025,"Maloya Colony SO","CHANDIGARH","CHANDIGARH",30.7529722,75.7185,110,1600*,HIGH
515303,"Kallumarri S.O","ANANTAPUR","ANDHRA PRADESH",13.94077778,77.26947222,109,515*,HIGH
390024,"Chhani Rd SO","VADODARA","GUJARAT",22.3415,73.1786944,109,39002*,HIGH
744206,"Wimberlygunj S.O","SOUTH ANDAMANS","ANDAMAN AND NICOBAR ISLANDS",11.44,92.42,108,74420*,HIGH
581325,"Dandeli S.O","UTTARA KANNADA","KARNATAKA",15.251804,74.627155,108,58132*,HIGH
515301,"Madakasira S.O","Sri Sathya Sai","ANDHRA PRADESH",13.94052778,77.26569444,108,515*,HIGH
487334,"Dobhi S.O (M.P Circle)","NARSINGHPUR","MADHYA PRADESH",22.88,77.9,108,487*,HIGH
686009,"Rubber Board SO","KOTTAYAM","KERALA",9.577014,76.568306,107,68600*,HIGH
515305,"Rallahalli S.O","Sri Sathya Sai","ANDHRA PRADESH",13.97566667,77.37236111,107,515*,HIGH
